business_id,business_name,contact_name,phone,website,address,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,rating_secondary_value,rating_secondary_source,top_delights,top_pain_points,osint_confidence,validation_tier,validation_confidence,red_flag_present,red_flag_severity,red_flag_category,red_flag_notes,pkp_node_type,pkp_edges_summary,pkp_picks_shovels_summary,pkp_undercurrents_summary,pkp_key_signals,pkp_primary_risks,pkp_primary_actions,chamber_member,batch_id,last_reviewed_date,notes,source_file
barakat_bossa,BARAKAT + BOSSA,"Mr. Brian Barakat, Esq.",305-444-3114,b2b.legal,,Coral Gables,professional_services,"law firm - commercial, landlord/tenant & criminal defense",$$$$,5.0,Martindale (30+ peer reviews),5.0,Firm testimonial feed (Google-verified imports),"Peers describe Brian Barakat and team as highly skilled, ethical litigators; clients praise responsiveness, clear strategy and strong results in commercial and landlord/tenant cases",Firm's own testimonial feed naturally skews positive; criminal-defense work carries reputational sensitivity if any high-profile case goes poorly,0.95,High,0.95,N,none,Reputation,"OSINT across peer and client sources is uniformly strong, with no notable negative public reviews",[web:24][web:27][web:30][web:527],platform_node,"Edges into businesses, landlords, professionals and some criminal-defense matters",Business litigation; landlord/tenant cases; white-collar/criminal defense,Litigation cycles; reputational stakes in high-visibility cases,peer_endorsements; complex_case_share; client_review_trend,Exposure to complex disputes makes capacity and risk management crucial,Continue investing in associate development; remain selective on criminal matters; maintain transparent expectations and fees,Y,batch_attorneys_01,2026-01-13,"High-reputation litigation boutique; node reused across civil, commercial and landlord/tenant listings.[web:24][web:27][web:30][web:527]",attorneys.csv
kktp_law,"Kurzban Kurzban Tetzeli and Pratt, P.A.",Ms. Helena Tetzeli,305-444-0060,kktplaw.com,,Coral Gables,professional_services,"law firm - immigration, civil & PI litigation",$$$$,4.7,Internal review page/Google/Yelp composite,4.0,AttorneyAtLaw & Yelp (mixed),"Firm is internationally known for immigration law, with many reviews describing exceptional expertise, compassionate representation and successful complex outcomes",At least one detailed negative review describes an attorney as aggressive and unhelpful; some variability across practice groups beyond immigration,0.95,High,0.95,Y,warning,Reputation,OSINT shows very strong overall standing with a few credible negative experiences emphasizing attorney fit,[web:521][web:523][web:525],platform_node,"Edges into complex immigration matters, civil rights and selected PI/medical cases","Immigration, appellate work, selected high-stakes litigation",Federal immigration policy shifts; case backlogs; reputational stakes,success_in_complex_cases; attorney_specific_reviews; practice_mix,Service-experience variance between attorneys; high expectations given reputation,Ensure robust supervision and training; match clients to the right attorney; maintain clarity on scope and fees,Y,batch_attorneys_01,2026-01-13,"Top-tier immigration/litigation platform with minor but real variability risk; single node reused across immigration, PI and employment listings.[web:521][web:523][web:525]",attorneys.csv
hinshaw_culbertson_miami,"Hinshaw & Culbertson, LLP",Ms. Karen Fayson,305-358-7747,hinshawlaw.com,,Miami,professional_services,law firm - commercial/finance/real estate,$$$$,3.9,Glassdoor/Chambers-style perception (firm-wide),,,,"National firm with strong insurance, financial-services and commercial litigation practices; Miami office fits into that platform","Big-law concerns about workload, rate pressure and occasional client-service variability; limited local SMB visibility",0.9,High,0.9,N,none,Infrastructure,"OSINT portrays Hinshaw as a solid national defense/commercial firm, not a consumer-facing shop[web:296]",platform_node,"Edges into banks, insurers, corporates and professionals",Defense-side litigation; regulatory and transactional work,Litigation volume; insurance cycles; fee pressure,AmLaw_rank; practice_mix; client_concentration,Rate competition vs boutiques and alternative providers,Reserve for matters needing scale/bench; communicate clearly on staffing and budgets with clients,Y,batch_attorneys_01,2026-01-13,National defense/commercial platform; risk is typical big-firm economics and culture.[web:296],attorneys.csv
donlevy_rosen,"Donlevy-Rosen & Rosen, P.A.",Ms. Patricia A. Donlevy-Rosen,305-459-3283,protectyou.com,,Coral Gables,professional_services,law firm - asset protection & estate planning,$$$$,4.9,Avvo/Google (low-moderate volume),,,,Niche firm focused on international asset protection and estate planning; extensive educational content and book authorship,"Niche attracts complex, high-expectation clients; regulatory scrutiny possible if structures perceived as aggressive",0.85,High,0.9,N,none,Reputation,OSINT points to respected specialists in asset protection and offshore planning[web:296],asset_node,"Edges into high-net-worth clients, physicians and business owners fearing liability",Offshore/onshore structuring; estate planning,Tax/anti-abuse rules; public perception of offshore tools,content_output; high_net_worth_client_share; regulatory_updates,Aggressive strategies could face future rule changes or IRS scrutiny,"Use conservative, well-documented strategies; stress-test plans against evolving laws; maintain close collaboration with tax counsel",Y,batch_attorneys_01,2026-01-13,"Highly focused asset-protection boutique; main risk is regulatory change, not client sentiment.[web:296]",attorneys.csv
lavender_greenberg,Lavender Greenberg Estate Planning & Probate Law,Ms. Monique Lavender Greenberg,786-832-4694,lglawmiami.com,,Miami,professional_services,law firm - estate planning & probate,$$$,5.0,Google/client reviews (low volume),,,,"Clients describe Monique as patient, thorough and empathetic in will/trust and probate matters",Single-attorney practice; limited capacity; very thin independent data,0.7,Moderate,0.8,N,none,Reputation,"OSINT is strongly positive but small-sample, as is common in this niche[web:296]",asset_node,"Edges into families, professionals and aging parents in Miami",Estate planning; probate,Demographic aging; competition from larger firms and online tools,client_referral_rate; repeat_family_relationships; turnaround_time,Key-person and capacity risk; competition from cheaper DIY options,Lean into high-touch consultative approach; build alliances with financial advisors and CPAs; consider limited-scope/flat-fee offerings,Y,batch_attorneys_01,2026-01-13,Boutique estate firm with excellent micro-reviews; success hinges on personal attention and referral channels.[web:296],attorneys.csv
morgan_horton_law,Morgan Horton Law,Ms. Laura Morgan Horton,305-624-0011,cmorganlaw.net,,Miami,professional_services,law firm - estate planning & business,$$$,4.8,Google/Avvo (low volume),,,,"Focuses on estate planning, probate and business succession; reviews praise clarity and professionalism",Very little public data; practice breadth vs firm size can strain capacity,0.7,Moderate,0.8,N,none,Reputation,OSINT is positive but limited,asset_node,Edges into families and business owners planning succession,Estate and business planning,Demographic cycles; tax changes,referrals_from_advisors; plan_update_frequency,Key-person risk; need to keep plans updated with law changes,Develop structured review cadence; partner with CPAs/RIAs; document workflows,Y,batch_attorneys_01,2026-01-13,Small planning boutique with good sentiment; similar risk profile to other solo/very-small shops.[web:296],attorneys.csv
ivette_odoski_consulting,Ivette O'Doski Consulting,Ms. Ivette Arango O'Doski,305-632-6452,,Miami,professional_services,government affairs & lobbying,$$$$,NA,NA,NA,NA,Legislative and policy references,"Provides government-affairs consulting and lobbying, leveraging experience with local/regional government",No public review base; outcomes hard to attribute; reputational risk tied to lobbying issues,0.7,High,0.8,N,none,Infrastructure,OSINT indicates recognized government-relations presence; detail limited to bios and client listings,platform_node,"Edges into companies, nonprofits and municipalities needing policy representation",Policy strategy; lobbying; relationship-building,Regulatory churn; public scrutiny of lobbying,lobby_registration_filings; client_roster; bill_passage_or_defeat_track,Reputational risk if associated with unpopular causes; changes in political landscape,Maintain transparency and compliance; choose clients/issues carefully; track and share policy wins responsibly,Y,batch_attorneys_01,2026-01-13,"Gov-affairs node rather than classic law firm; risk is political/reputational, not consumer-service.[web:296]",,attorneys.csv
nero_immigration_law,"NERO Immigration Law, P.L.","Ms. Deirdre D. Nero, Esq.",305-351-1079,neroimmigration.com,,Coral Gables,professional_services,law firm - business & family immigration,$$$,4.9,Google/Avvo (low-moderate volume),,,,"Clients praise professionalism, responsiveness and clear explanations for work visas and family immigration; active in local bar/community",Small practice; immigration backlogs can cause client frustration independent of lawyering,0.85,High,0.9,N,none,Reputation,"OSINT shows strong, consistent satisfaction with no notable negative clusters[web:296]",asset_node,"Edges into employers, professionals and families needing visas/green cards",Employment-based and family immigration,Federal policy; processing times; fee changes,approval_rates; case_mix; repeat_corporate_clients,Reliance on a few key corporate clients; policy swings,Deepen corporate relationships; maintain clear expectation-setting about timelines; monitor policy for proactive advice,Y,batch_attorneys_01,2026-01-13,"Well-regarded boutique immigration firm; main risks are systemic (USCIS), not reputational.[web:296]",attorneys.csv
kaufman_dolowich_miami,Kaufman Dolowich,Ms. Zascha Blanco Abbott,305-610-2843,kaufmandolowich.com,,Miami,professional_services,law firm - labor & employment (management-side),$$$$,4.0,Glassdoor/Chambers-style firm-level sentiment,,,,"National firm representing employers in labor, employment and insurance matters; Miami office led by known local partner",Big-firm workload and rate structure; perception risk in employee/union communities,0.85,High,0.9,N,none,Reputation,OSINT indicates mainstream management-side employment defense reputation,platform_node,Edges into mid/large employers and insurers,Litigation defense; counseling; training,Regulatory changes; DEI expectations; union activity,EEOC/agency_matter_volume; training_program_uptake,Public perception if employer clients are in contentious disputes,Encourage clients toward compliance and proactive training; maintain strong internal culture to avoid hypocrisy risk,Y,batch_attorneys_01,2026-01-13,Management-side employment platform; risk dominated by client mix and regulatory complexity.[web:296],attorneys.csv
mckellar_poursine,McKellar Poursine PLLC,Ms. Lisa McKellar Poursine,305-721-2954,mckellarpoursine.com,,Miami,professional_services,"law firm - labor, employment & investigations",$$$,4.8,Google/LinkedIn testimonials (low volume),,,,"Boutique employment and investigations practice; clients highlight practical, business-oriented advice",Thin independent review base; niche practice reliant on corporate/HR budgets,0.75,Moderate,0.8,N,none,Reputation,OSINT positive but limited; typical for newer/smaller boutique[web:296],asset_node,"Edges into HR leaders, executives and in-house counsel",Employment counseling; workplace investigations,Regulatory shifts; in-house build vs outsource,repeat_corporate_clients; matter_size_distribution,Client concentration; key-partner dependence,"Clarify sweet spot (e.g., mid-sized employers); build long-term outside-counsel relationships; maintain high investigation standards",Y,batch_attorneys_01,2026-01-13,Specialized employment/investigations boutique; resilience tied to corporate relationships and partner capacity.[web:296],attorneys.csv
ogletree_deakins_miami,Ogletree Deakins,Mr. Patrick F. Martin,305-374-0506,ogletree.com,,Miami,professional_services,law firm - labor & employment (global),$$$$,4.0,Glassdoor/Chambers-level sentiment,,,,"One of largest employment-law firms globally, focusing on management-side work; Miami office taps into national platform","Big-firm workload, rate pressure and potential association with contentious employer actions",0.95,High,0.95,N,none,Infrastructure,OSINT confirms Ogletree as a leading employment defense firm[web:296],platform_node,"Edges into large and mid-sized employers, HR departments and insurers",Defense litigation; advice; training,Regulatory and social pressure on workplace issues,AmLaw_rank; client_concentration; fee_pressure,Public-relations blowback for certain client matters; retention of diverse talent,Promote compliance-oriented culture; enhance DEI within firm; help clients resolve issues pre-litigation where possible,Y,batch_attorneys_01,2026-01-13,Global employment-defense platform; risk is inherent to representing management in sensitive disputes.[web:296],attorneys.csv
francisco_marty_law,Law Office of Francisco A. Marty,Mr. Francisco Marty,305-545-5282,criminaldefenseattorneys.miami,,Miami,professional_services,law firm - criminal defense,$$$,4.8,Google/Avvo (low-moderate volume),,,,Handles state and some federal criminal matters; reviews emphasize vigorous defense and responsiveness,Small practice; criminal-defense outcomes and publicity can quickly affect reputation,0.8,Moderate,0.85,N,none,Reputation,OSINT sentiment is strong among reviewers; standard solo/very-small criminal-defense risk profile[web:296],asset_node,Edges into individuals facing criminal charges and referring attorneys,Criminal defense,Crime trends; prosecution strategies; media coverage,case_severity_mix; trial_vs_plea; client_review_trend,Key-person risk and exposure to high-stakes cases,Maintain careful case selection; invest in investigation resources; strong client communication and expectation management,Y,batch_attorneys_01,2026-01-13,Criminal-defense boutique with good micro-reviews; outcome/media risk is intrinsic to practice.[web:296],attorneys.csv
rhonda_anderson_pa,Rhonda A. Anderson - P.A.,Mrs. Rhonda Anderson,305-567-3004,,Miami,professional_services,law firm - litigation,$$$,4.5,Peer/Bar directory sentiment (minimal public reviews),,,,Experienced litigator with long practice history; work often comes via referrals and professional networks,Very limited online presence; hard for the general public to evaluate without referrals,0.7,Moderate,0.8,N,none,Reputation,OSINT neutral-to-positive with low volume; treat as relationship-driven practice,[web:296],asset_node,"Edges into referred commercial, insurance or civil matters",Litigation,Court backlogs; referral flows,referral_sources; case_type_mix,Succession and visibility risk,Sustain referral relationships; consider modest digital presence for next-generation clients,Y,batch_attorneys_01,2026-01-13,"Low-visibility but experienced litigator; no obvious public red flags, just thin data.[web:296]",attorneys.csv
allen_dyer_doppelt_gilchrist,"Allen Dyer Doppelt + Gilchrist, P.A.",Mr. Robert H. Thornburg,305-374-8303,allendyer.com,,Miami/Florida,professional_services,"law firm - IP (patent, trademark, copyright)",$$$$,4.8,Avvo/peer ratings (IP),,,,"Specialized IP firm with deep patent, trademark and copyright experience; Thornburg has strong credentials and peer endorsements",IP practice can be expensive for small clients; litigation and PTO outcomes inherently uncertain,0.9,High,0.9,N,none,Reputation,OSINT indicates respected IP boutique with strong professional standing[web:296],platform_node,"Edges into tech, brand owners, manufacturers and creatives","Prosecution, enforcement and licensing",Patent office policy; IP litigation costs,filing_volume; litigation_docket; peer_endorsements,Cost/value perception among SMBs; capacity for very complex matters,Focus on sectors where value of IP is clear; offer staged/flat-fee options where possible; maintain litigation partnerships,Y,batch_attorneys_01,2026-01-13,Key IP boutique node for patents and brands; risk is mostly cost/return expectations.[web:296],attorneys.csv
drury_law_firm,Drury Law Firm,Mr. Christopher Drury,305-723-1100,drurypa.com,,Miami,professional_services,law firm - personal injury litigation,$$$$,4.9,Google/Avvo (moderate volume),,,,"Plaintiffs' PI firm; reviews highlight personal attention, communication and favorable settlements/verdicts",PI is contingency-based and volatile; marketing-intensive practice area with high client expectations,0.85,High,0.9,N,none,Reputation,OSINT reflects strong client satisfaction and no visible patterns of concern[web:296],asset_node,Edges into injured individuals and referring lawyers,PI litigation,Tort-reform risk; advertising competition,case_severity_mix; settlement_size_distribution; referral_sources,Case-selection risk and time-to-resolution,Maintain disciplined intake; manage expectations clearly; invest in trial readiness to drive settlements,Y,batch_attorneys_01,2026-01-13,Plaintiff PI boutique with strong reviews; typical contingency and pipeline risks.[web:296],attorneys.csv
george_david_pa,"George A. David, P.A.",Mr. George A. David,305-569-9980,,Miami,professional_services,law firm - personal injury / civil,$$$,4.4,Avvo/Google basic listings (low volume),,,,Handles personal-injury and possibly other civil matters; long-standing bar membership,Very limited OSINT; marketing presence minimal; success appears referral-driven,0.6,Moderate,0.7,N,none,Uncertain,"Sparse public data; no obvious red flags, but limited visibility",[web:296],asset_node,Edges into referred PI/civil matters,Civil and PI litigation,Case-flow from other attorneys; advertising restrictions,referral_pattern; case_volume,Pipeline and succession risk,Treat as lower-confidence node; rely on referral signals rather than web sentiment,Y,batch_attorneys_01,2026-01-13,Low-signal PI/civil practice; not enough public data for strong risk call.[web:296],attorneys.csv
cieza_law_firm,"Law Office of Francisco Cieza, P.A.",Mr. Francisco Cieza,786-423-8144,ciezalawfirm.com,,Miami,professional_services,law firm - personal injury,$$$,4.8,Google/Avvo (low-moderate volume),,,,PI plaintiffs' firm with reviews emphasizing availability and good outcomes,Small firm; volume and advertising-sensitive like peers,0.75,Moderate,0.8,N,none,Reputation,OSINT sentiment is solid; sample size modest,asset_node,Edges into accident victims and referring attorneys,PI litigation,Tort climate; marketing channels,case_mix; referral_share; review_trend,Key-person and pipeline risks,Maintain disciplined case selection; cultivate attorney referrals; manage overhead to weather slow periods,Y,batch_attorneys_01,2026-01-13,Standard small PI shop with good micro-reviews and typical contingency risks.[web:296],attorneys.csv
pita_weber_del_prado,Pita Weber Del Prado,Mrs. Rosanna Molinari Weber,305-670-2889,pwdlawfirm.com,,Miami,professional_services,law firm - personal injury & medical negligence,$$$$,4.8,Google/Avvo (moderate volume),,,,"Well-regarded PI/med-mal firm; clients note professionalism, compassion and strong results","Complex med-mal cases are expensive, long and risky; contingent-fee exposure high",0.9,High,0.9,N,none,Reputation,OSINT places PWD among stronger South Florida PI/med-mal players[web:296],platform_node,"Edges into serious-injury and med-mal plaintiffs, often via referrals",PI and med-mal litigation,Medical/legal environment; caps; expert-cost inflation,case_severity; trial_rate; referral_network_strength,Case concentration and long timelines,Maintain rigorous case screening; invest in expert networks and trial prep; robust client communication during long matters,Y,batch_attorneys_01,2026-01-13,"High-caliber PI/med-mal firm; structural contingency risks, but reviews are strongly positive.[web:296]",attorneys.csv
bean_automotive_lexus_kendall,Bean Automotive Group Lexus of Kendall/Kendall Toyota,Mr. Joaquin T. Azar,786-345-2612,beanauto.com,,Kendall,auto_dealer,"luxury+mainstream (Lexus,Toyota)",$$$$,3.0,Yelp (Lexus of Kendall),240,4.3,Cars.com / DealerRater (Lexus of Kendall),Friendly service staff; helpful salespeople; good selection,Upsell or added services complaints; promotion fine-print disputes; high service costs,0.8,Moderate,0.8,Y,warning,Reputation,Pattern of reviews citing upsell pressure and promo or fee disputes at Lexus of Kendall,mobility_node,"Part of Kendall auto row; edges into broader Miami luxury and mainstream buyers; competes with Braman, Williamson and other OEM points",OEM relationships; showroom and service facilities; financing and F&I office; digital lead funnels,High vehicle prices; complex F&I products; rising consumer sensitivity to dealer add-ons and fees,avg_rating_trend; share_of_reviews_mentioning_upsell; CSI scores; service_return_rate,Reputation erosion in service or F&I; potential decline in trust and repeat business if upsell stories spread,Tighten promo disclosures; simplify F&I menu; monitor scripts for pressure language; respond systematically to online complaints and highlight transparent deals,Y,batch_auto_01,2026-01-13,Group overall has solid footprint; Lexus of Kendall specifically shows mixed sentiment with recurring service and upsell complaints that warrant closer governance.,auto.csv
braman_honda,Braman Honda,Mr. Carlos Arana,305-216-5751,bramanhonda.com,,Miami,auto_dealer,mainstream (Honda),$$$,2.2,Yelp,232,4.8,Cars.com / DealerRater,Professional and courteous staff; efficient process; high customer satisfaction on Cars.com and DealerRater,Finance or internet sales complaints; pressure and pricing issues on Yelp,0.85,Moderate,0.85,Y,warning,Reputation,"Strong split between enthusiast review sites (high) and Yelp (low), driven largely by sales or finance complaints",mobility_node,"Major Honda node for greater Miami; edges into first-time buyers, families, and service-only customers; competes with other Honda dealers and used-car outlets",Large showroom and service center; online sales funnels; F&I office; loaner or transport options,Post-pandemic skepticism about dealer add-ons; shoppers heavily weight online reviews and horror stories,rating_divergence_index; finance_complaint_rate; CSI; service_vs_sales_sentiment,Bifurcated reputation between happy service customers and upset sales or finance customers can depress overall brand equity and digital conversion,Audit and standardize F&I and internet sales practices; offer clear out-the-door quotes; highlight strong service reviews; launch a targeted reputation-repair effort on Yelp,Y,batch_auto_01,2026-01-13,Legacy dealer with very strong structured-review scores but a problematic Yelp profile around F&I and sales pressure that needs disciplined cleanup.,auto.csv
